Funded,URL,Title,Year,Month,Type,Has FB,Backed Projects,Previous Projects,Creator Desc Len,Title Len,Goal,Duration,Pledge Levels,Min Pledge Tiers,Max Pledge Tiers,Proj Desc Len,Images,Videos,Has Video
yes,https://www.kickstarter.com/projects/878732893/fairy-tales-end-webseries,Fairy Tale's End Webseries,2016,Mar,Video,0,0,0,343,30,1500.0,30,7,5.0,250.0,2114,0,1,1
no,https://www.kickstarter.com/projects/garofaloenterprises/patternslibrary,PatternsLibrary,2016,Feb,Software,0,0,0,241,15,10000.0,60,7,10.0,10000.0,2609,1,0,0
no,https://www.kickstarter.com/projects/892489289/litestem,LiteStem,2016,Apr,Gadgets,0,0,0,479,8,1000.0,30,2,5.0,25.0,1180,0,0,0
yes,https://www.kickstarter.com/projects/1245546462/kitrex-triceratops-a-fold-and-play-cardboard-dino,KitRex Triceratops: A Fold-and-Play Cardboard Dino,2016,Mar,Design,1,12,3,476,50,12000.0,30,8,2.0,190.0,2343,13,1,1
yes,https://www.kickstarter.com/projects/577993044/nobowl-feeding-system-a-brilliant-solution-for-cat,NoBowl Feeding System: A Brilliant Solution for Cat Wellness,2016,Mar,Design,1,11,0,500,60,36000.0,30,21,5.0,2000.0,9391,17,2,1
yes,https://www.kickstarter.com/projects/1364502154/eigg-our-island,Eigg - Our Island,2016,Mar,Video,0,2,0,512,17,1079.32,16,5,7.0,106.0,3208,0,0,0
yes,https://www.kickstarter.com/projects/agreyartistry/magnificent-marvelous-and-macabre-coloring-book,Magnificent Marvelous and Macabre Coloring Book,2016,Mar,Art,1,2,0,329,47,4000.0,29,7,2.0,200.0,5287,20,2,1
no,https://www.kickstarter.com/projects/81267267/tokyo-no-densetsu-no-eiyulegend,TOKYO NO DENSETSU NO EIYU(Legend),2016,Mar,Video,0,0,2,131,33,11493.75,30,1,151.0,151.0,1098,0,0,0
yes,https://www.kickstarter.com/projects/1904835581/onesummernight,One Summer Night,2016,Mar,Video,0,24,0,500,16,9000.0,30,21,1.0,9000.0,15415,36,1,1
no,https://www.kickstarter.com/projects/1518096157/blacksmithing-on-a-budget,Blacksmithing on a budget (Canceled),2016,Mar,Art,0,0,0,212,36,1000.0,60,1,20.0,20.0,1119,0,0,0
yes,https://www.kickstarter.com/projects/ibrush365/ibrush-365-tm-for-smart-people,iBrush 365 \xe2\x84\xa2 For Smart People,2016,Mar,Gadgets,0,2,0,550,40,20000.0,30,7,1.0,10000.0,2284,14,1,1
yes,https://www.kickstarter.com/projects/2059659033/bee-smooched-natural-honey-flavored-lip-balm,Bee Smooched - 100% Natural Honey Flavored Lip Balm,2016,Apr,Design,1,8,2,274,51,500.0,30,11,5.0,500.0,1958,4,0,0
yes,https://www.kickstarter.com/projects/515157057/scar-story-documentary-of-paulettes-1000-mile-walk,Scar Story: A Documentary,2016,May,Video,0,15,0,526,25,30000.0,34,22,1.0,10000.0,9803,10,1,1
yes,https://www.kickstarter.com/projects/travisguay/virtual-terrain-simulator,Virtual Terrain Simulator,2016,Apr,Design,0,0,0,61,25,1400.0,20,6,5.0,500.0,3032,7,1,1
no,https://www.kickstarter.com/projects/1040100533/beyond-stars-charms,Beyond Stars Charms,2016,Mar,Crafts,0,0,0,284,19,7500.0,45,9,1.0,5000.0,2046,0,0,0
no,https://www.kickstarter.com/projects/962248073/sotonight,SoTonight,2016,Feb,Apps,1,0,0,103,9,5659.17,60,3,1.11,111.0,1062,1,0,0
yes,https://www.kickstarter.com/projects/588090543/a-spin-in-the-right-direction,A Spin In The Right Direction,2016,Mar,Crafts,1,0,2,573,41,350.0,30,19,1.0,1500.0,3237,0,0,0
no,https://www.kickstarter.com/projects/31142299/face-express-autism-app,Face Express autism app,2016,Mar,Apps,0,0,0,500,23,1007.37,30,5,7.0,142.0,5574,3,1,1
yes,https://www.kickstarter.com/projects/dougwatkins/food-storage-tracking-app-made-with-your-input,Food Storage Tracking App - Made with YOUR input!,2016,Apr,Apps,1,7,0,444,49,250.0,30,13,1.0,200.0,17025,32,4,1
no,https://www.kickstarter.com/projects/1999202468/jessicas-art-and-mission-trip-to-israel,Jessica's Art & Mission Trip to Israel! (Canceled),2016,Apr,Art,1,0,0,186,58,4000.0,30,8,10.0,1000.0,5678,7,0,0
no,https://www.kickstarter.com/projects/1639069541/secret-menu,Secret Menu,2016,Mar,Apps,1,0,0,498,11,61300.0,30,8,37.0,3744.0,1345,0,1,1
yes,https://www.kickstarter.com/projects/367723613/help-senior-students-documentary-project,Help Senior Students\xe2\x80\x99 Documentary Project!,2016,Apr,Video,0,0,0,180,53,1000.0,15,6,10.0,150.0,811,1,1,1
yes,https://www.kickstarter.com/projects/undocumenteddoc/undocumented-the-life-story-of-dr-harold-fernandez,UNDOCUMENTED: The Life Story of Dr. Harold Fernandez,2016,Mar,Video,1,0,0,503,52,25000.0,30,11,5.0,5000.0,8320,6,2,1
no,https://www.kickstarter.com/projects/nowherestudios/aaron-wood-art-prints,Aaron Wood art prints (Canceled),2016,Apr,Art,0,0,0,217,32,4317.28,30,11,7.0,14.0,1038,6,0,0
yes,https://www.kickstarter.com/projects/1337942875/high-seas-artisan-lip-balms,High Seas Artisan Lip Balms,2016,Apr,Design,1,0,3,511,27,575.64,14,4,1.41,17.0,3203,0,0,0
no,https://www.kickstarter.com/projects/776968104/smart-app-search-engine-0,Smart APP Search Engine,2016,Mar,Apps,0,0,0,320,23,250000.0,30,1,35.0,35.0,3498,0,1,1
yes,https://www.kickstarter.com/projects/1443668911/micro-fire-steel-stick,MICRO Fire Steel Stick,2016,Feb,Design,0,0,2,156,22,2263.67,35,5,1.09,71.0,693,4,1,1
no,https://www.kickstarter.com/projects/1538061339/re-experienceproject-ep-experienceproject-lives,Re-ExperienceProject - (EP) ExperienceProject Lives!!,2016,Apr,Software,0,0,0,511,53,1145.0,7,3,2.0,200.0,2023,1,1,1
yes,https://www.kickstarter.com/projects/hexlox/hexlox-anti-theft-for-saddles-wheels-and-more-made,HEXLOX: Anti Theft for saddles	 wheels and more	 made easy.,2016,Mar,Design,1,7,0,222,59,22636.7,30,15,6.0,558.0,9418,52,4,1
no,https://www.kickstarter.com/projects/36075468/piece-de-theatre-holographique-revue-holographique,Holographic Show- Spectacle holographique,2016,Mar,Art,1,0,2,626,41,50342.62,43,9,0.75,522.0,6052,0,1,1
no,https://www.kickstarter.com/projects/680018524/leonard-nimoys-our-20th-century-0,Leonard Nimoy's Our 20th Century,2016,Mar,Video,0,0,0,496,48,30000.0,45,2,10.0,25.0,3040,0,1,1
no,https://www.kickstarter.com/projects/366127033/a-social-network-and-an-online-guide-for-rare-dise,A social network and an online guide for rare diseases,2016,Mar,Software,0,0,0,506,54,565917.5,60,3,11.0,273.0,2230,18,11,1
no,https://www.kickstarter.com/projects/1718676466/bitcoin-paintings,Bitcoin paintings,2016,Mar,Art,0,0,0,600,17,22636.7,30,3,99.0,303.0,2190,4,1,1
no,https://www.kickstarter.com/projects/384472659/tetra-iq-open-earthquake-early-warning-british-col,Tetra iQ Open Earthquake Early Warning British Columbia.,2016,Mar,Gadgets,1,0,0,462,56,71261.25,30,5,19.0,2235.0,9133,0,1,1
no,https://www.kickstarter.com/projects/1168174760/whoislogo-the-first-logos-navigation-system,Whoislogo - the first logos navigation system,2016,Mar,Apps,1,4,0,508,45,33955.05,45,9,6.0,393.0,8502,36,7,1
no,https://www.kickstarter.com/projects/2119744341/huerto-ecologico,Huerto ecologico,2016,Mar,Crafts,1,0,0,81,16,147138.55,30,2,112.0,1119.0,1808,0,0,0
yes,https://www.kickstarter.com/projects/299469641/pens-and-pedals,Pens & Pedals,2016,Apr,Art,1,3,0,514,17,3000.0,21,5,10.0,300.0,4495,10,1,1
yes,https://www.kickstarter.com/projects/1830112662/bump-button-universal-movement-project,BUMP (Button Universal Movement Project),2016,Mar,Art,1,0,0,494,40,3000.0,30,3,10.0,50.0,1415,0,1,1
no,https://www.kickstarter.com/projects/1252184737/countyourpillscom,CountYourPills.com,2016,Mar,Apps,0,0,0,387,18,50000.0,30,1,25.0,25.0,394,0,0,0
yes,https://www.kickstarter.com/projects/440414210/nelsons-eagle-scout-project,Nelson's Eagle Scout Project,2016,Mar,Crafts,0,0,0,499,32,825.0,30,1,100.0,100.0,2595,0,0,0
yes,https://www.kickstarter.com/projects/1121907048/sounds-of-success-the-national-trumpet-competition,Sounds of Success: The National Trumpet Competition,2016,Mar,Video,0,0,0,535,51,5000.0,30,7,10.0,1000.0,1904,0,1,1
no,https://www.kickstarter.com/projects/mantisplanet/mantis-planet-futuristic-vegas-show,MANTIS PLANET - Futuristic Vegas Show (Canceled),2016,Feb,Gadgets,0,0,0,519,48,22000.0,60,10,5.0,10000.0,1002,0,1,1
yes,https://www.kickstarter.com/projects/brexitthemovie/brexit-the-movie-marketing-and-promotion,BREXIT THE MOVIE- MARKETING AND PROMOTION,2016,Mar,Video,0,0,2,349,41,7195.48,45,11,7.0,697.0,6255,3,1,1
no,https://www.kickstarter.com/projects/934401297/handmade-plushies-for-you,5$ Drawings and Handmade Plushies for You!,2016,Mar,Art,0,0,2,19,42,153.25,30,6,4.0,41.0,716,12,0,0
no,https://www.kickstarter.com/projects/427388810/poi-person-of-interest-social-app-with-a-serious-t,POI. Person of interest. A social app	 but better.,2016,Feb,Apps,1,0,0,499,50,105000.0,45,5,10.0,1000.0,3186,0,1,1
no,https://www.kickstarter.com/projects/542143962/all-who-are,All Who Are,2016,Mar,Software,0,0,0,494,11,30000.0,30,1,10.0,10.0,2946,0,0,0
no,https://www.kickstarter.com/projects/1873745076/katia-plus-saving-womens-lives,KATIA Plus: Saving Women's Lives,2016,Mar,Software,1,0,0,379,36,20000.0,60,3,10.0,20.0,10294,7,1,1
yes,https://www.kickstarter.com/projects/2134276458/sticky,STICKY,2016,Mar,Video,0,2,0,516,6,2158.64,30,6,36.0,1423.0,3015,0,1,1
no,https://www.kickstarter.com/projects/748267113/mr-babes-needs-a-new-studio-and-maybe-even-a-showr,Mr. Babes Needs A New Studio (& Maybe Even A Showroom),2016,Mar,Art,1,0,0,453,58,4000.0,21,4,20.0,1200.0,849,3,1,1
no,https://www.kickstarter.com/projects/breadcat/breadcat-t-shirt,BreadCat T-Shirt,2016,Apr,Crafts,0,7,2,519,16,400.0,30,1,15.0,15.0,604,3,1,1
yes,https://www.kickstarter.com/projects/fluance/fluance-turntable-audiophile-sound-performance,Fluance Turntable - It's Time to #RespectTheRecord,2016,Mar,Design,0,0,0,321,54,45975.0,30,10,4.0,401.0,2261,18,1,1
no,https://www.kickstarter.com/projects/740769622/vialamp-bringing-light-to-the-darkness,VIALAMP - BRINGING LIGHT TO THE DARKNESS - Vialamp.com,2016,Feb,Gadgets,1,2,0,260,54,20000.0,31,17,1.0,10000.0,4363,7,0,0
yes,https://www.kickstarter.com/projects/1347192208/halfling-crafts-first-convention,Halfling Crafts'First Convention,2016,Mar,Art,0,1,0,679,37,175.0,30,32,1.0,175.0,4398,0,0,0
yes,https://www.kickstarter.com/projects/725358217/rage-yoga,Rage Yoga,2016,Mar,Video,1,2,0,506,9,1532.5,21,12,1.51,378.0,2835,4,1,1
yes,https://www.kickstarter.com/projects/24450645/stax-maths-toy-for-kids,Stax: Fun Maths Toy for Kids!,2016,Mar,Design,1,0,0,103,29,15325.0,30,13,4.0,156.0,2244,3,1,1
yes,https://www.kickstarter.com/projects/georjaiwin/jet-pack,JetPack - Bluetooth Shield for Arduino Robots,2016,Mar,Gadgets,0,5,4,94,45,1000.0,36,7,2.0,60.0,2860,8,1,1
no,https://www.kickstarter.com/projects/559098865/my-muzic,My Muzic,2016,Mar,Apps,0,0,0,313,8,50000.0,30,4,25.0,600.0,3099,6,0,0
no,https://www.kickstarter.com/projects/1871139013/acorn-to-arabella-journey-of-a-wooden-boat,Acorn to Arabella: Journey of a Wooden Boat,2016,Apr,Video,0,0,0,535,43,8700.0,30,12,1.0,2000.0,5418,0,1,1
no,https://www.kickstarter.com/projects/128848443/soccer-video-training-database-for-youth-soccer-tr,SOCCER VIDEO TRAINING DATABASE FOR YOUTH SOCCER TRAINERS,2016,Mar,Apps,0,0,0,499,56,9620.6,30,8,2.24,840.0,5421,20,2,1
no,https://www.kickstarter.com/projects/cuban/kuruko-the-amv-sharing-site,Kuruko - The AMV Sharing Site,2016,Feb,Software,0,2,0,403,29,600.0,50,1,5.0,5.0,2132,0,0,0
no,https://www.kickstarter.com/projects/444260035/casecorder-camcorder-style-case-for-iphone-6-6s,Casecorder: Camcorder-Style Case for iPhone 6/6s (Canceled),2016,Apr,Gadgets,0,2,0,444,59,31000.0,30,4,4.0,30.0,3901,8,1,1
no,https://www.kickstarter.com/projects/1027967224/homemade-solar-powered-address-plaques-and-mailbox,Homemade solar powered address plaques and mailboxes,2016,Mar,Crafts,1,0,0,498,52,250.0,30,2,50.0,100.0,1468,6,0,0
yes,https://www.kickstarter.com/projects/bullettrainsf/bullettrain-magic-pencil-holder-for-apple-pencil-i,BulletTrain Magic Pencil Holder for Apple Pencil + iPad Pro,2016,Mar,Design,1,0,5,517,59,4700.0,28,4,39.0,119.0,8806,36,1,1
no,https://www.kickstarter.com/projects/114874000/2016-formula-1-calendar-screen-prints,2016 Formula 1 F1 Race Circuit Calendar Screen Prints,2016,Mar,Design,0,1,3,262,53,1439.1,30,7,28.0,140.0,1840,8,0,0
yes,https://www.kickstarter.com/projects/218568730/video-equations-colour-video-synthesizer,Video Equations: Colour Video Synthesizer,2016,Mar,Gadgets,1,2,2,501,41,4597.5,30,7,0.76,321.0,1664,3,1,1
no,https://www.kickstarter.com/projects/763811181/floral-workshop,Floral Workshop,2016,Mar,Crafts,1,0,0,498,15,2600.0,30,1,5.0,5.0,2863,0,0,0
no,https://www.kickstarter.com/projects/unlost/unlost,Unlost (Canceled),2016,Feb,Gadgets,1,0,0,398,17,22636.7,60,4,2.23,48.0,14228,36,1,1
no,https://www.kickstarter.com/projects/beachcaddy/the-worlds-first-app-to-make-beach-goers-dreams-co,The World's First App to Make Beach Goers Dreams Come True!,2016,Mar,Apps,1,11,2,432,63,36779.0,45,17,10.0,9950.0,5079,6,1,1
yes,https://www.kickstarter.com/projects/485636551/franklin-coders,Franklin Coders,2016,Mar,Software,1,1,0,398,15,400.0,17,4,10.0,30.0,2582,2,1,1
yes,https://www.kickstarter.com/projects/59107441/the-18-wallet-access-without-excess,THE ANSON CALDER \xe2\x85\x9b\xe2\x80\x9d WALLET: Access Without Excess,2016,Feb,Design,1,26,0,394,71,10000.0,38,12,5.0,5000.0,7984,28,1,1
yes,https://www.kickstarter.com/projects/1252904912/masters-of-hawaiian-music-film-series-2016,Masters of Hawaiian Music Film Series 2016,2016,Mar,Video,0,5,4,316,42,51000.0,41,26,25.0,10000.0,8330,9,1,1
yes,https://www.kickstarter.com/projects/patagoniaprojects/life-after-death-the-whales-of-golfo-de-penas-pata,Life After Death: The Whales of Golfo de Penas	 Patagonia,2016,Mar,Video,0,0,0,395,57,2000.0,31,7,10.0,2000.0,6500,4,1,1
no,https://www.kickstarter.com/projects/209575654/momtasks,MOMTASKS,2016,Mar,Apps,0,0,0,481,8,50000.0,30,5,5.0,500.0,1406,0,0,0
yes,https://www.kickstarter.com/projects/153157298/science-moms,Science Moms,2016,Mar,Video,1,1,0,367,12,8000.0,45,9,5.0,1000.0,2874,0,1,1
yes,https://www.kickstarter.com/projects/642311833/rocketbook-wave-cloud-connected-microwavable-noteb,Rocketbook Wave: Cloud Connected Microwavable Notebook,2016,Feb,Design,0,0,0,292,54,20000.0,58,7,20.0,1050.0,5785,20,2,1
yes,https://www.kickstarter.com/projects/597750762/elegant-and-versatile-growth-charts-for-your-child,Elegant and versatile growth charts for your child,2016,Mar,Design,1,35,0,335,50,1532.5,32,17,0.76,182.0,5184,6,3,1
no,https://www.kickstarter.com/projects/517291504/busi-base,Busi Base,2016,Mar,Apps,0,0,0,494,9,150000.0,25,3,150.0,500.0,1616,0,0,0
no,https://www.kickstarter.com/projects/1959074654/jobber,Jobber!,2016,Mar,Apps,1,0,0,506,7,200000.0,30,2,5.0,25.0,2229,0,0,0
no,https://www.kickstarter.com/projects/554022927/new-2016-social-media-litesbook,NEW 2016 Social Media Litesbook (Canceled),2016,Mar,Software,1,0,4,510,42,38312.5,30,1,8.0,8.0,4101,0,0,0
no,https://www.kickstarter.com/projects/1662961458/olsen-family-farm-hand-crafted-goats-milk-soap,Olsen Family Farm Hand-Crafted Goats Milk Soap,2016,Mar,Crafts,1,1,0,503,58,5000.0,30,3,10.0,75.0,2683,3,0,0
no,https://www.kickstarter.com/projects/1031873800/handmade-home-items-collection,Handmade Home Items Collection,2016,Mar,Crafts,1,0,3,151,30,2750.0,28,7,1.0,500.0,2789,5,0,0
no,https://www.kickstarter.com/projects/1349815390/temp-mission,Temp Mission,2016,Mar,Apps,0,0,0,275,12,5000.0,30,1,500.0,500.0,1242,0,0,0
yes,https://www.kickstarter.com/projects/yourmomentofjen/freeman-v-morton-native-american-civil-rights-docu,Freeman V. Morton:A Native American Civil Rights Documentary,2016,Mar,Video,1,0,0,594,60,6000.0,30,3,5.0,200.0,4812,0,0,0
no,https://www.kickstarter.com/projects/604720877/depressed-mfg-skate-co,Depressed. MFG Skate Co.,2016,Mar,Crafts,1,0,0,353,24,1200.0,30,3,5.0,50.0,1656,0,0,0
no,https://www.kickstarter.com/projects/1090911217/apple-watch-crown-1,Apple Watch: Crown,2016,Mar,Design,0,0,5,353,18,4500.0,30,8,60.0,110.0,2147,3,1,1
no,https://www.kickstarter.com/projects/1007968674/artistic-collaboration-2016,artistic collaboration 2016 (Canceled),2016,Feb,Art,0,0,0,231,38,1697.75,60,1,167.0,167.0,1728,1,0,0
no,https://www.kickstarter.com/projects/gyreo/gyreo-the-ultimate-customisable-wireless-motion-ga,GYREO - The Ultimate Customisable Wireless Motion Gadget,2016,Feb,Gadgets,1,0,0,522,56,50368.32,60,9,1.39,6968.0,5274,29,4,1
yes,https://www.kickstarter.com/projects/1612507807/send-me-to-hollywood,SEND ME TO HOLLYWOOD,2016,Apr,Video,0,1,0,351,20,1439.1,17,5,7.0,142.0,1076,0,0,0
no,https://www.kickstarter.com/projects/1637472843/love-multiplied-a-double-group-dating-app,Love Multiplied - A Double/Group Dating App,2016,Feb,Apps,1,0,0,68,43,10000.0,60,1,100.0,100.0,948,0,0,0
no,https://www.kickstarter.com/projects/954234879/caranua-app-and-website-for-women,CaraNua app and website for women,2016,Mar,Apps,0,0,0,503,33,25000.0,30,2,25.0,35.0,1236,0,0,0
no,https://www.kickstarter.com/projects/butterflytemp/butterfly-your-personal-bluetooth-body-thermometer,BUTTERFLY - The First Ever Remote Body Thermometer.,2016,Mar,Gadgets,0,0,0,436,51,113183.5,33,7,1.12,1123.0,3513,26,2,1
yes,https://www.kickstarter.com/projects/1248279881/trekkers-beard-oil-and-mens-grooming-co,Trekker's Beard Oil & Men's Grooming Co.,2016,Mar,Crafts,0,4,0,498,52,500.0,30,7,1.0,100.0,5438,1,0,0
yes,https://www.kickstarter.com/projects/386997744/your-modern-girl-intelligent-dolls-for-todays-girl,Your Modern Girl: Intelligent dolls for today's girl,2016,Mar,Design,0,0,0,505,56,28781.9,30,18,1.41,495.0,11547,14,1,1
no,https://www.kickstarter.com/projects/67549654/shimmer-strike-the-anime,Shimmer Strike the Anime,2016,Feb,Video,1,0,0,155,24,10000.0,60,2,50.0,150.0,828,0,1,1
yes,https://www.kickstarter.com/projects/1370519105/audiots-are-emojis-cool-sounds-including-record-yo,Audiots are emojis + cool sounds	 including record your own,2016,Apr,Apps,1,0,0,170,59,6250.0,25,1,13.0,13.0,2222,0,1,1
yes,https://www.kickstarter.com/projects/yousee3d/devoid-crime-drama,DEVOID - Masked Man Mysterious Truth Drug Crime Drama,2016,Mar,Video,1,6,3,141,53,3597.74,35,10,1.42,3552.0,7001,45,1,1
no,https://www.kickstarter.com/projects/853681317/solidprojection-solidworks-to-unity3d-with-substan,SolidProjection SolidWorks to Unity3D with Substance Painter,2016,Mar,Software,0,0,0,488,60,766.25,30,5,151.0,151.0,1395,0,1,1
no,https://www.kickstarter.com/projects/961157198/1-for-5-printable-calendars-perfect-for-adult-colo,$1 for 5 Printable Calendars - Perfect for Adult Coloring,2016,Mar,Art,0,0,0,308,57,3000.0,30,1,1.0,1.0,1412,11,0,0
yes,https://www.kickstarter.com/projects/sunair/ourweather-weather-kit-for-stem-kids,OurWeather - Weather Kit for STEM Kids of all ages!,2016,Mar,Gadgets,1,5,6,527,51,12000.0,30,11,5.0,5000.0,10967,13,1,1
no,https://www.kickstarter.com/projects/signalhaystacks/anonymy-own-your-online-privacy,Anonymy - Own Your Online Privacy,2016,Mar,Software,0,0,0,367,45,160000.0,35,3,25.0,150.0,6648,2,1,1
no,https://www.kickstarter.com/projects/matthewganz/thenerderynetwork-social-networking-for-nerds,TheNerderyNetwork Social Networking For Nerds (Canceled),2016,Mar,Software,1,0,0,705,56,3500.0,60,5,5.0,100.0,67,0,1,1
yes,https://www.kickstarter.com/projects/1902241899/the-ignorance-of-bliss-a-documentary,The Ignorance of Bliss: A Documentary,2016,Mar,Video,0,0,0,25,37,1500.0,22,7,5.0,200.0,2987,3,1,1
no,https://www.kickstarter.com/projects/2115985583/hush-1,H.U.S.H,2016,Mar,Apps,0,0,0,511,7,15000.0,45,7,1.0,3499.0,10572,1,1,1
no,https://www.kickstarter.com/projects/1090391411/opulent-beauty-bar-and-spa,Opulent Beauty Bar and Spa,2016,Mar,Art,1,0,0,496,26,35000.0,29,5,25.0,250.0,3392,6,0,0
yes,https://www.kickstarter.com/projects/pythontear/pt-apparel,PT Apparel,2016,Mar,Art,1,0,0,337,10,600.0,45,6,5.0,100.0,1449,3,0,0
no,https://www.kickstarter.com/projects/1560218856/blacksmith-in-training-axesknives-and-decore,Blacksmith in training axes	knives and decore.,2016,Mar,Crafts,0,0,0,280,46,4500.0,30,1,25.0,25.0,440,1,0,0
yes,https://www.kickstarter.com/projects/cycleboard/cycleboard-worlds-most-versatile-stand-up-electric,CycleBoard: World's Most Versatile Stand-up Electric Scooter,2016,Mar,Design,1,6,0,492,64,70000.0,30,12,1.0,3199.0,8932,72,2,1
yes,https://www.kickstarter.com/projects/tcwgoingbackhome/the-coyote-way-going-back-home,The Coyote Way: Going Back Home,2016,Mar,Video,0,2,0,509,31,10000.0,30,10,1.0,1000.0,9340,9,1,1
no,https://www.kickstarter.com/projects/1358860923/church-roof-for-a-new-history-and-archive-center,Church roof for a new history and archive center,2016,Mar,Apps,1,0,0,374,48,4400.0,30,1,100.0,100.0,17009,0,0,0
no,https://www.kickstarter.com/projects/18744177/vector-tee,Vector Tee,2016,Mar,Gadgets,1,0,0,404,10,5000.0,30,1,10.0,10.0,1473,0,1,1
yes,https://www.kickstarter.com/projects/1605053030/pretch-panels-your-better-whiteboard,Pretch Panels | Your Better Whiteboard,2016,Mar,Design,1,1,0,405,38,7500.0,34,8,5.0,1200.0,3939,7,1,1
no,https://www.kickstarter.com/projects/395986255/knot-app,Knot App,2016,Mar,Apps,1,1,0,510,8,4860.0,30,5,5.0,5000.0,2397,0,0,0
no,https://www.kickstarter.com/projects/galaxyyy/dj-digital-jukebox,DJ (Digital Jukebox),2016,Feb,Apps,1,0,0,127,20,5500.0,60,6,1.0,500.0,1212,0,0,0
no,https://www.kickstarter.com/projects/creepfactor/creep-factor-2-out-of-the-shadows,Creep Factor 2: Out of the Shadows,2016,Mar,Video,1,0,0,365,34,2700.0,60,1,20.0,20.0,1343,0,1,1
no,https://www.kickstarter.com/projects/305148559/help-me-revolutionize-the-way-people-shop,Help me Revolutionize the way people Shop,2016,Mar,Apps,0,0,0,498,41,15845.69,60,2,109.0,5442.0,3570,0,1,1
